epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,818.439,1.57532,0.75255,0.94591,0.7887,0.8423,0.81006,0.40732,1.96387,0.89368,0.98702,0.00056678,0.00056678,0.00056678
102,826.473,1.62316,0.76373,0.89715,0.86003,0.8423,0.8268,0.42423,1.83215,0.80209,0.9635,0.000555778,0.000555778,0.000555778
103,834.488,1.70093,0.75817,0.92014,0.82411,0.8525,0.80594,0.41338,1.94373,0.81769,0.98554,0.000544776,0.000544776,0.000544776
104,842.551,1.63374,0.71171,0.92619,0.83251,0.86781,0.82301,0.4329,1.78486,0.76932,0.96761,0.000533773,0.000533773,0.000533773
105,850.579,1.62916,0.71127,0.91851,0.81804,0.82116,0.79204,0.39836,1.88152,0.79265,1.01275,0.000522771,0.000522771,0.000522771
106,858.57,1.63257,0.72719,0.87165,0.85287,0.82083,0.80573,0.39939,1.8619,0.7933,1.01953,0.000511769,0.000511769,0.000511769
107,866.549,1.63485,0.72531,0.90923,0.83148,0.85482,0.85424,0.43171,1.87624,0.85405,0.98932,0.000500767,0.000500767,0.000500767
108,874.491,1.48076,0.67616,0.86186,0.83143,0.82691,0.78419,0.41124,1.7871,0.85954,0.96255,0.000489765,0.000489765,0.000489765
109,882.491,1.50831,0.69847,1.04427,0.89657,0.82267,0.84391,0.43127,1.80291,0.81571,0.9698,0.000478762,0.000478762,0.000478762
110,890.487,1.59338,0.71114,0.91703,0.83547,0.8076,0.81705,0.42601,1.8243,0.85644,0.9547,0.00046776,0.00046776,0.00046776
111,898.493,1.57079,0.72422,0.89468,0.90348,0.80019,0.82811,0.40993,1.81234,0.82806,0.96695,0.000456758,0.000456758,0.000456758
112,906.506,1.37858,0.65345,0.81507,0.818,0.88312,0.84324,0.41532,1.82358,0.79159,0.98107,0.000445756,0.000445756,0.000445756
113,914.506,1.64439,0.72537,0.90401,0.83736,0.85993,0.88396,0.43738,1.79731,0.80379,0.96873,0.000434754,0.000434754,0.000434754
114,922.499,1.41499,0.65653,0.8133,0.80399,0.8423,0.83821,0.40705,1.8251,0.84008,0.98596,0.000423751,0.000423751,0.000423751
115,930.495,1.57662,0.71974,0.91881,0.86438,0.83644,0.84054,0.41944,1.8214,0.87158,1.00126,0.000412749,0.000412749,0.000412749
116,938.585,1.64428,0.72846,0.92514,0.83918,0.8321,0.82657,0.43437,1.82173,0.80914,0.97672,0.000401747,0.000401747,0.000401747
117,946.636,1.60857,0.67326,0.89755,0.80942,0.85116,0.83889,0.4367,1.84194,0.84334,0.96552,0.000390745,0.000390745,0.000390745
118,954.635,1.46557,0.66055,0.84438,0.89435,0.84972,0.87055,0.44119,1.76957,0.85501,0.96211,0.000379743,0.000379743,0.000379743
119,962.666,1.57866,0.78296,0.90007,0.89427,0.82246,0.84862,0.43789,1.77478,0.81523,0.9661,0.00036874,0.00036874,0.00036874
120,970.724,1.53489,0.69909,0.91883,0.81631,0.8474,0.83206,0.43647,1.79082,0.80123,0.96546,0.000357738,0.000357738,0.000357738
121,978.753,1.41303,0.65415,0.89398,0.80893,0.82189,0.83046,0.42835,1.83674,0.84944,0.96853,0.000346736,0.000346736,0.000346736
122,986.824,1.41763,0.659,0.83125,0.84615,0.82603,0.8273,0.43051,1.81612,0.81122,0.97131,0.000335734,0.000335734,0.000335734
123,994.864,1.38661,0.62815,0.83026,0.87105,0.8462,0.83981,0.43079,1.81607,0.80882,0.9867,0.000324732,0.000324732,0.000324732
124,1002.9,1.31854,0.62879,0.81539,0.84147,0.82189,0.8074,0.41449,1.827,0.81912,0.97807,0.000313729,0.000313729,0.000313729
125,1010.93,1.43038,0.69793,0.87613,0.88479,0.87644,0.87301,0.43966,1.80029,0.80262,0.9754,0.000302727,0.000302727,0.000302727
126,1018.96,1.46449,0.66925,0.84012,0.8444,0.8372,0.82584,0.44058,1.83365,0.78983,0.9768,0.000291725,0.000291725,0.000291725
127,1026.99,1.47697,0.68959,0.90996,0.87683,0.88379,0.89363,0.45714,1.75586,0.75843,0.95514,0.000280723,0.000280723,0.000280723
128,1035.55,1.62454,0.68582,0.86905,0.88352,0.85068,0.88787,0.46382,1.73517,0.76384,0.94838,0.000269721,0.000269721,0.000269721
129,1044.23,1.31696,0.64732,0.87635,0.80602,0.8321,0.84137,0.4495,1.77897,0.78264,0.96179,0.000258718,0.000258718,0.000258718
130,1052.31,1.44585,0.68026,0.87943,0.84264,0.83225,0.85145,0.45479,1.70293,0.74203,0.95174,0.000247716,0.000247716,0.000247716
131,1060.33,1.57619,0.63498,0.88112,0.83531,0.8372,0.84992,0.44003,1.78386,0.75789,0.9834,0.000236714,0.000236714,0.000236714
132,1068.35,1.39918,0.63227,0.88444,0.84447,0.85791,0.85717,0.45377,1.72833,0.73305,0.97449,0.000225712,0.000225712,0.000225712
133,1076.34,1.42087,0.6327,0.8742,0.85479,0.86783,0.84759,0.45873,1.73988,0.76542,0.96549,0.00021471,0.00021471,0.00021471
134,1084.34,1.30279,0.59164,0.76552,0.82383,0.8474,0.82944,0.44863,1.80038,0.806,0.96511,0.000203707,0.000203707,0.000203707
